0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
Número,DATA,Placar,TIME_MANDANTE,PLACAR_MANDANTE,GOLS_MANDANTE,GOLS_PENALTI_MANDANTE,PLACAR2,TIME_VISITANTE,PLACAR_VISITANTE,GOLS_VISITANTE,GOLS_PENALTI_VISITANTE,RODADA,PUBLICO,CAMPEONATO_ID,CAMPEONATO_DESCRICAO,ESTADIO,SEM_TORCIDA,Gols,OBS,OBS2,
351,20/03/2002,Internacional 1 x 1 Grêmio,Internacional,1,1,, 1 x 1 ,Grêmio,1,1,,,,2002_CSM,Copa Sul-Minas,Beira-Rio,,"Gilberto (G), Fabiano Costa (I).",,,
350,06/10/2001,Grêmio 1 x 0 Internacional,Grêmio,1,1,, 1 x 0 ,Internacional,0,0,,,,2001_BR,Campeonato Brasileiro,Olímpico,,Luis Mario (G).,,,
349,13/05/2001,Internacional 0 x 0 Grêmio,Internacional,0,0,, 0 x 0 ,Grêmio,0,0,,,,2001_RS,Campeonato Gaúcho,Beira-Rio,,,,,
348,01/04/2001,Grêmio 4 x 2 Internacional,Grêmio,4,4,, 4 x 2 ,Internacional,2,2,,,,2001_RS,Campeonato Gaúcho,Olímpico,,"Tinga (2), Rodrigo Mendes e Zinho (G); Luiz Cláudio e Fábio Pinto (I).",,,
347,07/10/2000,Internacional 1 x 2 Grêmio,Internacional,1,1,, 1 x 2 ,Grêmio,2,2,,,,2000_BR,Campeonato Brasileiro,Beira-Rio,,Elivélton (I); Ronaldinho e Warley (G).,,,
346,07/06/2000,Grêmio 1 x 0 Internacional,Grêmio,1,1,, 1 x 0 ,Internacional,0,0,,,,2000_RS,Campeonato Gaúcho,Olímpico,,Ronaldinho (G).,,,
345,30/04/2000,Internacional 1 x 1 Grêmio,Internacional,1,1,, 1 x 1 ,Grêmio,1,1,,,,2000_RS,Campeonato Gaúcho,Beira-Rio,,Júlio Enciso (I); Ronaldinho (G).,,,
344,25/11/1999,Internacional 1 x 1 Grêmio,Internacional,1,1,, 1 x 1 ,Grêmio,1,1,,,,1999_SLA,Seletiva Libertadores,Beira-Rio,,Almir (I); Guilherme (G).,,,
343,20/11/1999,Grêmio 1 x 1 Internacional,Grêmio,1,1,, 1 x 1 ,Internacional,1,1,,,,1999_SLA,Seletiva Libertadores,Olímpico,,Ronaldinho (G); Almir (I).,,,
342,12/09/1999,Grêmio 1 x 0 Internacional,Grêmio,1,1,, 1 x 0 ,Internacional,0,0,,,,1999_BR,Campeonato Brasileiro,Olímpico,,Zé Alcino (G).,,,
341,20/06/1999,Grêmio 1 x 0 Internacional,Grêmio,1,1,, 1 x 0 ,Internacional,0,0,,,,1999_RS,Campeonato Gaúcho,Olímpico,,Ronaldinho (G).,Grêmio campeão 1999,,
340,16/06/1999,Grêmio 2 x 0 Internacional,Grêmio,2,2,, 2 x 0 ,Internacional,0,0,,,,1999_RS,Campeonato Gaúcho,Olímpico,,Ronaldinho e Agnaldo (G).,,,
339,13/06/1999,Internacional 1 x 0 Grêmio,Internacional,1,1,, 1 x 0 ,Grêmio,0,0,,,,1999_RS,Campeonato Gaúcho,Beira-Rio,,Gonçalves (I).,,,
338,28/03/1999,Internacional 2 x 0 Grêmio,Internacional,2,2,, 2 x 0 ,Grêmio,0,0,,,,1999_CSU,Copa Sul,Beira-Rio,,Fabiano e Dunga (I).,,,
337,17/03/1999,Grêmio 1 x 1 Internacional,Grêmio,1,1,, 1 x 1 ,Internacional,1,1,,,,1999_CSU,Copa Sul,Olímpico,,Macedo (G); Christian (I).,,,
336,26/07/1998,Internacional 1 x 0 Grêmio,Internacional,1,1,, 1 x 0 ,Grêmio,0,0,,,,1998_BR,Campeonato Brasileiro,Beira-Rio,,Christian (I),,,
335,24/08/1997,Grêmio 2 x 5 Internacional,Grêmio,2,2,, 2 x 5 ,Internacional,5,5,,,,1997_BR,Campeonato Brasileiro,Olímpico,,"Christian (I), Sandoval (I), Fabiano (I), Fabiano (I), Sérgio Manoel (G), Marcelo (I), Gilmar (G)",Gre-Nal dos 5x2,,
